SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
514215,BINNY LTD.  ,X ,Q,132.00,133.80,128.20,132.95,132.95,128.30,9,189,24701.00,
514223,RAMGOPAL POL,T ,Q,2.24,2.24,2.24,2.24,2.24,2.14,7,1800,4032.00,
514234,SANGAM INDIA,B ,Q,62.05,62.95,61.85,62.80,62.90,64.05,27,1762,109941.00,
514264,SEASONS TEXT,X ,Q,9.49,9.49,8.16,9.49,9.49,8.32,3,10,93.00,
514266,ZENITH FIBRE,X ,Q,54.20,54.95,54.20,54.85,54.85,54.95,5,691,37925.00,
514272,BHILWARA SP.,Z ,Q,12.35,12.35,12.35,12.35,12.35,12.40,3,2050,25317.00,
514274,AARVEE DENIM,B ,Q,23.05,23.50,23.05,23.45,23.45,24.00,4,310,7210.00,
514286,ASHIMA LTD. ,B ,Q,11.75,11.95,11.52,11.60,11.60,11.80,43,6561,76103.00,
514300,PIONEER EMB ,T ,Q,22.05,22.25,22.05,22.25,22.25,22.35,5,1735,38463.00,
514302,VIPPY SPIN. ,X ,Q,39.80,44.95,39.80,44.95,44.95,44.00,5,514,20854.00,
514322,KAMADGIRI   ,X ,Q,88.00,88.00,82.05,82.05,82.05,88.00,3,25,2194.00,
514326,PATSPIN INDI,B ,Q,10.45,11.47,10.27,10.97,10.97,10.45,28,1760,18460.00,
514330,OVERSEAS SYN,X ,Q,3.42,3.42,3.25,3.25,3.25,3.42,4,5008,17094.00,
514332,NEOINFRA    ,XT,Q,24.35,24.35,23.00,23.00,23.00,23.50,9,4004,93402.00,
514354,PREMIER POLY,B ,Q,29.90,29.90,25.60,26.75,26.00,27.60,8,82,2195.00,
514378,YARN SYNDICA,X ,Q,3.97,3.97,3.97,3.97,3.97,3.97,1,1,3.00,
514386,GUJ COTEX   ,X ,Q,2.20,2.20,2.20,2.20,2.20,2.20,2,600,1320.00,
514394,AJIL        ,B ,Q,68.60,68.60,68.60,68.60,68.60,69.95,33,3375,231525.00,
514412,SARUPINDUS  ,X ,Q,48.05,48.05,48.05,48.05,48.05,45.90,1,2,96.00,
514418,MANORG      ,X ,Q,562.00,564.85,551.30,554.20,556.00,560.70,178,5177,2889331.00,
514428,HINDU.ADHESI,X ,Q,76.50,76.50,76.50,76.50,76.50,74.20,1,5,382.00,
514448,JYOTI RESINS,X ,Q,124.60,137.90,110.00,137.55,137.90,114.95,181,15323,2069672.00,
514450,MAHA.RUBTECH,X ,Q,36.20,40.00,36.20,39.70,39.75,37.30,12,878,34637.00,
514454,SOUTH.LATEX ,XT,Q,12.90,12.90,12.90,12.90,12.90,13.30,1,1,12.00,
514474,FAIRDEAL FIL,X ,Q,102.30,107.40,102.25,102.55,102.25,102.25,6,410,42241.00,
514486,POLYGENTA TE,XT,Q,0.96,0.96,0.96,0.96,0.96,1.01,1,15,14.00,
515018,REG.CERAMIC ,T ,Q,2.60,2.60,2.47,2.47,2.47,2.60,2,400,989.00,
515030,ASAHI IN.GLA,A ,Q,247.60,253.60,247.60,250.20,249.45,250.15,31,1401,352204.00,
515037,MURD.CERAM  ,B ,Q,20.85,22.00,20.20,21.15,21.10,21.30,30,2477,52422.00,
515043,SAINT-GOBAIN,X ,Q,56.10,56.85,56.10,56.60,56.55,56.50,124,11907,673343.00,
515055,ANANTRAJ    ,B ,Q,34.05,34.15,33.40,33.70,33.75,34.00,146,51956,1753555.00,
515059,MADHUS.IND. ,X ,Q,16.00,16.00,16.00,16.00,16.00,16.00,1,200,3200.00,
515085,RESTILE CER.,X ,Q,3.80,3.90,3.78,3.87,3.90,3.80,11,5522,21123.00,
515093,MADHAV MARB.,B ,Q,42.00,42.00,42.00,42.00,42.00,42.40,2,40,1680.00,
515127,RAMASIGNS   ,X ,Q,14.16,14.16,13.46,13.46,13.46,14.16,3,57,768.00,
515145,HIND.NAT.GLS,B ,Q,88.90,88.90,88.90,88.90,88.90,83.00,1,5,444.00,
515147,HALDYN GLASS,X ,Q,35.45,35.45,34.15,34.35,34.40,35.10,51,9401,326060.00,
516003,DUROPLY     ,X ,Q,83.95,83.95,83.25,83.25,83.25,86.50,2,60,5002.00,
516007,MANGALAM TIM,B ,Q,17.20,17.50,16.60,16.75,16.65,16.45,23,2043,34639.00,
516016,SHREYANS IND,B ,Q,157.15,158.15,152.00,153.10,153.00,155.95,103,5694,869897.00,
516020,AGIO PAPER  ,X ,Q,2.67,2.67,2.67,2.67,2.67,2.67,1,3,8.00,
516022,STAR PAPER  ,B ,Q,130.10,131.90,128.55,130.95,130.95,129.95,84,4153,541534.00,
516030,YASH PAPERS ,X ,Q,51.65,51.65,50.25,50.85,51.25,50.70,55,11877,601446.00,
516062,NAT.PLYWOOD ,XT,Q,30.50,30.50,30.50,30.50,30.50,30.50,2,477,14548.00,
516064,ARROWGREEN  ,B ,Q,76.80,76.80,75.50,75.95,76.00,77.50,11,700,53008.00,
516072,VISHNU CHEM ,B ,Q,139.25,140.00,139.20,139.70,140.00,140.35,4,32,4470.00,
516078,JUMBO BAG   ,Z ,Q,13.20,13.20,13.10,13.10,13.10,13.40,2,500,6560.00,
516082,N.R.AGARWAL ,B ,Q,337.95,343.90,331.85,337.95,343.90,336.35,26,586,196657.00,
516092,3PLAND      ,B ,Q,10.15,11.00,10.15,11.00,11.00,11.25,2,20,211.00,
516096,SANGAL PAPER,XT,Q,148.05,148.30,148.00,148.30,148.30,148.50,5,72,10657.00,
516106,SH.KARTHIK P,X ,Q,10.80,10.80,9.85,10.01,10.00,10.88,22,3708,37405.00,
517015,VINDHYA TELE,B ,Q,1304.35,1370.00,1304.35,1362.35,1362.35,1323.15,102,465,623990.00,
517035,RUTTONSHA IN,X ,Q,37.15,37.15,37.15,37.15,37.15,37.55,3,50,1857.00,
517041,ADORWELDING ,B ,Q,341.10,350.00,338.10,338.85,349.50,343.30,38,858,291612.00,
517044,INT.DATA MAN,XT,Q,9.45,9.45,9.45,9.45,9.45,9.45,1,1,9.00,
517059,SALZER ELEC ,B ,Q,120.20,121.50,118.25,121.25,119.60,121.90,17,673,81441.00,
517063,JETINFOTRAN ,X ,Q,33.00,34.00,32.55,32.55,32.55,32.50,4,102,3435.00,
517080,HIGHGROUND  ,B ,Q,7.10,7.15,7.10,7.14,7.15,7.14,6,501,3577.00,
517096,APLAB LTD.  ,XT,Q,8.40,8.40,8.40,8.40,8.40,8.00,1,44,369.00,
517119,PCS TECH    ,X ,Q,8.97,9.35,8.97,9.35,9.35,9.86,3,159,1453.00,
517146,USHA MART.LT,B ,Q,38.00,38.05,36.10,36.35,36.35,37.60,259,66636,2442301.00,
517166,SPEL SEMICON,X ,Q,7.24,7.25,6.81,7.11,7.20,7.09,17,3502,24558.00,
517168,SUBROS LTD. ,B ,Q,277.20,279.60,273.20,277.70,279.60,277.05,56,687,189016.00,
517174,HONEYWELL   ,A ,Q,24100.00,24189.90,23900.60,24062.85,24008.15,24018.00,27,32,768154.00,
517201,SWITCH.TECH.,XT,Q,50.80,54.80,50.80,54.80,54.80,52.30,8,612,32633.00,
517206,LUMAX IND   ,B ,Q,1789.00,1801.70,1770.00,1785.05,1773.00,1792.70,63,242,431197.00,
517236,CALCOM VISIO,X ,Q,28.05,29.55,27.35,28.95,28.50,29.70,17,1248,35993.00,
517238,DYNAVISION  ,XT,Q,51.80,51.80,51.80,51.80,51.80,54.50,1,50,2590.00,
517246,BCC FUBA    ,XT,Q,10.10,10.50,10.10,10.20,10.20,10.30,5,1510,15435.00,
517258,PRECISION EL,XT,Q,29.00,29.00,26.30,29.00,29.00,27.65,4,59,1692.00,
